County,State,TotalPop,IncomePerCap,Poverty,Unemployment
Autauga County,Alabama,55036,27824,13.7,5.2
Baldwin County,Alabama,203360,29364,11.8,5.5
Barbour County,Alabama,26201,17561,27.2,12.4
Bibb County,Alabama,22580,20911,15.2,8.2
Blount County,Alabama,57667,22021,15.6,4.9
Bullock County,Alabama,10478,20856,28.5,12.1
Butler County,Alabama,20126,19004,24.4,7.6
Calhoun County,Alabama,115527,23638,18.6,10.1
Chambers County,Alabama,33895,22002,18.8,6.4
Cherokee County,Alabama,25855,23010,16.1,5.3
Chilton County,Alabama,43805,23368,19.4,6.7
Choctaw County,Alabama,13188,20994,22.3,9.8
Clarke County,Alabama,24625,20765,25.3,15.2
Clay County,Alabama,13407,21330,19.1,6.4
Cleburne County,Alabama,14939,20873,19.1,7.8
Coffee County,Alabama,51073,26216,16.1,6.0
Colbert County,Alabama,54435,23675,16.8,6.9
Conecuh County,Alabama,12649,16337,26.4,14.5
Coosa County,Alabama,10955,20342,14.4,11.3
Covington County,Alabama,37519,22431,17.6,10.7
Crenshaw County,Alabama,13866,21580,17.6,6.4
Cullman County,Alabama,81703,21857,16.4,5.8
Dale County,Alabama,49393,23194,19.6,10.4
Dallas County,Alabama,40755,18248,31.9,13.7
DeKalb County,Alabama,71194,20020,21.5,5.1
Elmore County,Alabama,80989,26251,13.5,7.3
Escambia County,Alabama,37621,18164,23.8,13.7
Etowah County,Alabama,103132,22278,17.9,7.6
Fayette County,Alabama,16657,21191,18.1,8.4
Franklin County,Alabama,31507,19314,23.0,8.2
Geneva County,Alabama,26572,21084,22.5,8.9
Greene County,Alabama,8533,14197,38.8,14.8
Hale County,Alabama,14995,20269,26.1,11.7
Henry County,Alabama,17110,23983,13.7,6.7
Houston County,Alabama,104108,24781,18.5,7.6
Jackson County,Alabama,52326,20946,19.0,7.7
Jefferson County,Alabama,659460,29456,17.6,7.7
Lamar County,Alabama,14021,21152,23.1,7.9
Lauderdale County,Alabama,92590,25803,16.3,6.6
Lawrence County,Alabama,33288,22419,16.6,7.2
Lee County,Alabama,156597,26170,22.0,5.7
Limestone County,Alabama,91695,26685,14.8,7.1
Lowndes County,Alabama,10362,18976,30.2,11.2
Macon County,Alabama,19358,19564,25.9,14.5
Madison County,Alabama,353213,34232,13.6,6.5
Marengo County,Alabama,19743,22996,25.6,12.8
Marion County,Alabama,30058,21835,17.6,5.5
Marshall County,Alabama,94738,22710,21.0,6.5
Mobile County,Alabama,414328,24347,19.3,7.5
Monroe County,Alabama,21745,17264,33.7,21.6
Montgomery County,Alabama,227120,26712,20.8,7.6
Morgan County,Alabama,119157,25013,16.6,6.5
Perry County,Alabama,9680,13449,41.9,11.8
Pickens County,Alabama,20170,20089,22.9,12.2
Pike County,Alabama,33287,20808,26.3,8.7
Randolph County,Alabama,22530,20983,18.7,5.8
Russell County,Alabama,58480,21279,20.9,9.7
St. Clair County,Alabama,86937,24686,13.7,5.8
Shelby County,Alabama,208721,35330,8.3,4.3
Sumter County,Alabama,13084,14739,36.0,13.4
Talladega County,Alabama,80888,21382,19.3,10.0
Tallapoosa County,Alabama,40756,22430,21.2,9.2
Tuscaloosa County,Alabama,204424,24895,17.3,6.7
Walker County,Alabama,64927,21217,21.5,10.0
Washington County,Alabama,16746,23239,22.0,11.0
Wilcox County,Alabama,10919,15774,31.9,17.2
Winston County,Alabama,23968,20580,18.7,9.4
Aleutians East Borough,Alaska,3338,31254,16.7,2.4
Aleutians West Census Area,Alaska,5784,35998,7.5,1.9
Anchorage Municipality,Alaska,298225,38977,8.1,5.8
Bethel Census Area,Alaska,17957,18654,27.0,19.3
Bristol Bay Borough,Alaska,917,42002,7.1,6.8
Denali Borough,Alaska,2303,33084,15.5,1.9
Dillingham Census Area,Alaska,4974,24647,16.6,11.4
Fairbanks North Star Borough,Alaska,100031,35328,7.7,8.0
Haines Borough,Alaska,2537,35907,8.4,2.7
Hoonah-Angoon Census Area,Alaska,2146,33704,11.1,11.7
Juneau City and Borough,Alaska,32434,41904,7.4,4.8
Kenai Peninsula Borough,Alaska,57961,33336,11.0,8.6
Ketchikan Gateway Borough,Alaska,13745,33771,10.6,7.0
Kodiak Island Borough,Alaska,13773,32625,9.3,5.3
Kusilvak Census Area,Alaska,8129,11693,39.1,28.8
Lake and Peninsula Borough,Alaska,1301,23434,16.5,13.2
Matanuska-Susitna Borough,Alaska,101135,30409,9.8,9.8
Nome Census Area,Alaska,9869,20952,24.9,16.6
North Slope Borough,Alaska,9757,48777,10.2,9.5
Northwest Arctic Borough,Alaska,7715,21879,25.3,20.1
Petersburg Borough,Alaska,3275,35044,7.8,4.8
Prince of Wales-Hyder Census Area,Alaska,6473,26695,16.0,13.5
Sitka City and Borough,Alaska,8810,36617,9.2,5.0
Skagway Municipality,Alaska,1038,39376,5.6,7.9
Southeast Fairbanks Census Area,Alaska,6889,31051,13.9,12.5
Valdez-Cordova Census Area,Alaska,9439,37935,7.4,7.5
Wrangell City and Borough,Alaska,2475,29943,11.7,7.0
Yakutat City and Borough,Alaska,682,32393,6.2,6.5
Yukon-Koyukuk Census Area,Alaska,5453,21057,25.5,19.7
Apache County,Arizona,71602,13865,35.9,14.1
Cochise County,Arizona,126516,24896,18.1,7.6
Coconino County,Arizona,138639,25722,21.0,8.3
Gila County,Arizona,53145,22433,21.9,11.7
Graham County,Arizona,37700,17874,21.4,12.2
Greenlee County,Arizona,9368,24935,11.5,7.6
La Paz County,Arizona,20477,21707,19.7,9.5
Maricopa County,Arizona,4155501,30186,15.7,6.0
Mohave County,Arizona,204691,23527,18.6,10.1
Navajo County,Arizona,107902,17685,29.1,16.3
Pima County,Arizona,1007257,27323,18.3,8.4
Pinal County,Arizona,405537,22944,15.5,7.8
Santa Cruz County,Arizona,46358,19482,21.8,8.7
Yavapai County,Arizona,220972,27504,14.7,7.3
Yuma County,Arizona,204281,20600,19.7,10.9
Arkansas County,Arkansas,18352,23766,20.7,8.5
Ashley County,Arkansas,20771,20703,21.3,9.9
Baxter County,Arkansas,41093,24737,12.6,5.8
Benton County,Arkansas,251823,30611,10.5,3.1
Boone County,Arkansas,37212,22288,15.8,6.1
Bradley County,Arkansas,10994,21575,26.4,9.4
Calhoun County,Arkansas,5194,22866,19.6,5.7
Carroll County,Arkansas,27782,21754,15.7,5.1
Chicot County,Arkansas,11008,20560,29.4,10.1
Clark County,Arkansas,22495,20382,21.5,4.5
Clay County,Arkansas,15190,19171,22.3,5.3
Cleburne County,Arkansas,25361,26189,15.4,5.5
Cleveland County,Arkansas,8332,23171,19.3,6.6
Columbia County,Arkansas,23992,20296,25.1,9.5
Conway County,Arkansas,20954,22365,18.5,7.1
Craighead County,Arkansas,104246,25594,18.3,6.0
Crawford County,Arkansas,62119,22104,16.6,6.2
Crittenden County,Arkansas,49278,20721,23.5,8.4
Cross County,Arkansas,17164,22894,18.0,6.8
Dallas County,Arkansas,7585,18309,13.2,6.4
Desha County,Arkansas,12094,18187,32.6,12.2
Drew County,Arkansas,18620,20300,24.4,9.0
Faulkner County,Arkansas,121282,25240,16.3,5.1
Franklin County,Arkansas,17803,19988,21.9,6.6
Fulton County,Arkansas,12092,19674,23.0,6.9
Garland County,Arkansas,97994,25690,19.1,9.0
Grant County,Arkansas,18076,25814,14.4,8.7
Greene County,Arkansas,44197,22094,15.9,7.0
Hempstead County,Arkansas,22154,18817,25.3,6.4
Hot Spring County,Arkansas,33480,20868,15.8,6.2
Howard County,Arkansas,13472,23627,21.0,5.7
Independence County,Arkansas,37097,23056,18.5,6.0
Izard County,Arkansas,13521,19737,17.7,9.6
Jackson County,Arkansas,17429,19458,25.1,7.0
Jefferson County,Arkansas,71373,20371,24.7,10.0
Johnson County,Arkansas,26155,18757,22.5,4.7
Lafayette County,Arkansas,7051,25140,23.8,8.3
Lawrence County,Arkansas,16777,19422,18.4,8.2
Lee County,Arkansas,9614,15610,27.3,15.3
Lincoln County,Arkansas,13885,13142,17.9,8.1
Little River County,Arkansas,12494,23412,18.8,10.3
Logan County,Arkansas,21802,19708,20.2,8.1
Lonoke County,Arkansas,71568,25184,12.3,4.8
Madison County,Arkansas,15907,23203,17.8,4.5
Marion County,Arkansas,16374,19200,19.5,7.7
Miller County,Arkansas,43760,22227,21.0,8.0
Mississippi County,Arkansas,43534,20378,25.6,11.6
Monroe County,Arkansas,7420,20486,28.6,9.1
Montgomery County,Arkansas,9059,21480,18.1,4.4
Nevada County,Arkansas,8528,18644,23.0,4.8
Newton County,Arkansas,7898,18053,17.8,4.0
Ouachita County,Arkansas,24378,19780,26.0,8.3
Perry County,Arkansas,10320,21781,17.8,6.5
Phillips County,Arkansas,19518,17287,33.0,15.7
Pike County,Arkansas,10893,20180,17.3,5.1
Poinsett County,Arkansas,24098,18361,21.4,5.4
Polk County,Arkansas,20212,18735,26.6,8.5
Pope County,Arkansas,63372,21650,19.8,7.3
Prairie County,Arkansas,8309,22653,16.8,7.6
Pulaski County,Arkansas,392848,29855,17.3,5.9
Randolph County,Arkansas,17514,20932,20.9,3.5
St. Francis County,Arkansas,26688,16518,27.5,10.0
Saline County,Arkansas,116252,28410,8.0,4.3
Scott County,Arkansas,10584,18077,20.5,10.6
Searcy County,Arkansas,7925,21475,17.4,3.6
Sebastian County,Arkansas,127362,23916,22.5,5.6
Sevier County,Arkansas,17206,18388,21.2,6.6
Sharp County,Arkansas,17041,20078,23.3,6.7
Stone County,Arkansas,12443,19881,24.2,8.3
Union County,Arkansas,40022,23463,20.1,8.3
Van Buren County,Arkansas,16751,20568,19.6,8.3
Washington County,Arkansas,223683,26371,18.0,4.9
White County,Arkansas,78706,23120,16.6,6.2
Woodruff County,Arkansas,6763,19987,26.0,10.1
Yell County,Arkansas,21601,20209,17.8,6.3
Alameda County,California,1629615,41363,11.3,6.0
Alpine County,California,1203,27448,19.8,14.6
Amador County,California,37306,29628,10.6,9.3
Butte County,California,225207,26304,20.5,9.1
Calaveras County,California,45057,31652,12.8,7.1
Colusa County,California,21479,25676,14.0,5.9
Contra Costa County,California,1123678,42898,9.8,6.9
Del Norte County,California,27442,20809,23.2,9.5
El Dorado County,California,185015,38156,9.8,8.1
Fresno County,California,971616,22234,25.4,10.4
Glenn County,California,27935,21029,19.6,9.2
Humboldt County,California,135490,25208,20.8,8.9
Imperial County,California,179957,17303,23.8,16.0
Inyo County,California,18195,30323,10.2,5.2
Kern County,California,878744,21716,22.6,10.9
Kings County,California,150183,19835,20.9,9.7
Lake County,California,64095,23345,22.8,11.2
Lassen County,California,31470,20974,14.6,7.5
Los Angeles County,California,10105722,30798,17.0,7.8
Madera County,California,154440,19975,22.1,8.3
Marin County,California,260814,66748,8.1,4.5
Mariposa County,California,17658,28241,15.1,10.0
Mendocino County,California,87497,27093,19.1,10.4
Merced County,California,267390,20120,23.3,14.6
Modoc County,California,9017,22052,18.1,7.5
Mono County,California,14058,30888,9.9,3.6
Monterey County,California,433168,27168,14.7,6.0
Napa County,California,141005,40632,8.2,5.4
Nevada County,California,98838,35581,12.1,7.3
Orange County,California,3155816,37603,12.1,5.8
Placer County,California,374985,39734,8.2,5.6
Plumas County,California,18724,32056,13.3,9.4
Riverside County,California,2355002,25700,15.6,9.9
Sacramento County,California,1495400,29693,16.7,8.8
San Benito County,California,58671,30012,9.7,8.8
San Bernardino County,California,2121220,22867,18.2,9.9
San Diego County,California,3283665,34350,13.3,7.1
San Francisco County,California,864263,59508,11.7,5.4
San Joaquin County,California,724153,24694,17.1,10.1
San Luis Obispo County,California,280119,33972,13.8,4.8
San Mateo County,California,763450,53516,7.3,4.7
Santa Barbara County,California,442996,32872,15.4,6.6
Santa Clara County,California,1911226,48689,8.6,5.7
Santa Cruz County,California,273263,36388,14.7,6.7
Shasta County,California,178919,26455,18.1,6.8
Sierra County,California,2885,31750,12.3,5.3
Siskiyou County,California,43530,24605,20.7,9.1
Solano County,California,434981,31934,11.5,8.5
Sonoma County,California,500943,37767,10.7,5.9
Stanislaus County,California,535684,24007,17.2,11.8
Sutter County,California,95583,24849,16.7,10.5
Tehama County,California,63247,22631,20.9,10.1
Trinity County,California,13037,23575,19.9,9.6
Tulare County,California,458809,18962,27.1,10.0
Tuolumne County,California,53899,31570,13.6,7.9
Ventura County,California,847834,35771,10.3,6.6
Yolo County,California,212605,30615,19.4,7.2
Yuba County,California,74644,22814,18.5,9.9
Adams County,Colorado,487850,27487,12.2,5.1
Alamosa County,Colorado,16345,19217,27.8,9.9
Arapahoe County,Colorado,626612,36951,9.9,5.2
Archuleta County,Colorado,12592,29344,11.6,5.4
Baca County,Colorado,3581,22853,19.5,4.5
Bent County,Colorado,5806,14028,24.5,9.3
Boulder County,Colorado,316782,42119,13.1,5.2
Broomfield County,Colorado,64283,43736,5.2,4.0
Chaffee County,Colorado,18818,28907,9.6,2.5
Cheyenne County,Colorado,2127,23698,11.8,8.1
Clear Creek County,Colorado,9257,41257,6.8,3.2
Conejos County,Colorado,8147,19047,21.1,9.4
Costilla County,Colorado,3628,20737,29.6,9.1
Crowley County,Colorado,5514,14393,24.6,21.4
Custer County,Colorado,4505,26032,15.7,8.7
Delta County,Colorado,30217,25546,16.5,8.5
Denver County,Colorado,678467,38991,15.1,4.5
Dolores County,Colorado,1736,23190,14.1,0.4
Douglas County,Colorado,320940,48725,3.6,3.3
Eagle County,Colorado,53726,40450,7.7,2.7
Elbert County,Colorado,24553,42522,4.8,3.6
El Paso County,Colorado,674826,31217,11.1,6.8
Fremont County,Colorado,46601,20919,15.8,6.2
Garfield County,Colorado,57945,31483,9.6,5.4
Gilpin County,Colorado,5793,45110,5.6,3.3
Grand County,Colorado,14793,32919,13.1,4.6
Gunnison County,Colorado,16215,27669,14.1,7.3
Hinsdale County,Colorado,820,29574,12.0,4.1
Huerfano County,Colorado,6498,25547,14.8,7.9
Jackson County,Colorado,1372,24299,12.8,1.8
Jefferson County,Colorado,564029,40187,7.8,4.3
Kiowa County,Colorado,1368,23621,10.6,3.1
Kit Carson County,Colorado,7846,26125,11.5,5.3
Lake County,Colorado,7481,28492,12.8,5.7
La Plata County,Colorado,54469,34501,9.6,4.4
Larimer County,Colorado,330976,34087,12.4,5.3
Las Animas County,Colorado,14151,24268,17.0,7.8
Lincoln County,Colorado,5520,14765,14.0,3.7
Logan County,Colorado,21885,24595,16.8,6.2
Mesa County,Colorado,148798,27612,16.0,8.0
Mineral County,Colorado,834,33018,12.0,1.6
Moffat County,Colorado,13056,27331,10.1,3.6
Montezuma County,Colorado,25770,24440,16.8,5.9
Montrose County,Colorado,40908,24308,17.8,8.0
Morgan County,Colorado,28123,24077,9.3,4.5
Otero County,Colorado,18325,20358,22.9,9.3
Ouray County,Colorado,4653,35544,10.4,5.9
Park County,Colorado,16900,34377,6.6,4.6
Phillips County,Colorado,4327,27790,8.1,2.0
Pitkin County,Colorado,17747,65800,7.1,4.3
Prowers County,Colorado,12084,22033,18.3,8.4
Pueblo County,Colorado,163368,23110,19.8,9.3
Rio Blanco County,Colorado,6557,28185,11.8,6.3
Rio Grande County,Colorado,11430,22412,18.1,8.8
Routt County,Colorado,24359,38111,10.7,3.1
Saguache County,Colorado,6338,22267,21.0,7.7
San Juan County,Colorado,569,28889,3.3,9.8
San Miguel County,Colorado,7804,42015,10.5,3.8
Sedgwick County,Colorado,2357,24666,17.0,6.8
Summit County,Colorado,29722,37192,10.3,3.3
Teller County,Colorado,23769,34974,7.5,6.7
Washington County,Colorado,4809,26279,9.9,4.2
Weld County,Colorado,285729,29226,11.2,5.3
Yuma County,Colorado,10109,24789,14.3,2.4
Fairfield County,Connecticut,947328,53433,8.8,7.6
Hartford County,Connecticut,897417,37817,11.2,7.4
Litchfield County,Connecticut,184454,40619,6.8,6.0
Middlesex County,Connecticut,164110,43695,7.2,5.1
New Haven County,Connecticut,862127,35085,12.1,7.7
New London County,Connecticut,270772,36881,9.9,7.0
Tolland County,Connecticut,151596,37830,6.5,5.8
Windham County,Connecticut,116674,29993,11.1,7.6
Kent County,Delaware,173145,27420,13.0,6.7
New Castle County,Delaware,555036,34541,11.9,6.5
Sussex County,Delaware,215551,31874,12.0,6.1
District of Columbia,District of Columbia,672391,50832,17.4,8.0
Alachua County,Florida,259865,26431,23.3,6.6
Baker County,Florida,27537,22440,17.2,5.8
Bay County,Florida,180117,26742,15.4,6.4
Bradford County,Florida,26775,19656,18.8,7.6
Brevard County,Florida,568183,29405,13.4,7.6
Broward County,Florida,1890416,30109,14.0,7.6
Calhoun County,Florida,14458,15927,12.9,8.6
Charlotte County,Florida,173236,29243,12.0,8.9
Citrus County,Florida,141373,25034,17.4,9.9
Clay County,Florida,203291,28599,10.4,8.1
Collier County,Florida,356774,41239,12.8,5.3
Columbia County,Florida,68484,22855,16.8,9.5
DeSoto County,Florida,35675,17892,29.9,6.1
Dixie County,Florida,16323,19342,23.7,6.2
Duval County,Florida,912043,28593,16.0,7.4
Escambia County,Florida,309924,25666,14.6,7.2
Flagler County,Florida,105015,25741,13.3,6.5
Franklin County,Florida,11675,23524,20.1,7.9
Gadsden County,Florida,46113,19252,24.4,8.5
Gilchrist County,Florida,17191,21145,19.8,7.4
Glades County,Florida,13197,20476,18.0,10.0
Gulf County,Florida,16018,21085,14.9,5.4
Hamilton County,Florida,14238,16109,26.6,12.7
Hardee County,Florida,27326,18643,24.5,9.1
Hendry County,Florida,39064,18426,25.5,8.2
Hernando County,Florida,179144,23495,14.3,8.8
Highlands County,Florida,100177,23020,18.7,11.5
Hillsborough County,Florida,1351087,29806,15.7,6.8
Holmes County,Florida,19483,18402,26.6,11.5
Indian River County,Florida,147981,33122,12.7,8.2
Jackson County,Florida,48571,18126,21.6,11.2
Jefferson County,Florida,14085,22452,13.9,7.2
Lafayette County,Florida,8684,21955,17.8,12.8
Lake County,Florida,326215,25991,12.8,7.2
Lee County,Florida,700165,30233,14.9,7.1
Leon County,Florida,285890,28548,20.5,8.8
Levy County,Florida,39713,21043,21.9,8.5
Liberty County,Florida,8347,16937,17.8,9.6
Madison County,Florida,18518,17192,31.9,8.1
Manatee County,Florida,363542,30477,13.4,6.6
Marion County,Florida,343778,23598,17.6,9.0
Martin County,Florida,155719,38021,10.9,6.5
Miami-Dade County,Florida,2702602,25481,19.0,7.4
Monroe County,Florida,76745,39176,12.7,3.7
Nassau County,Florida,78435,33337,11.4,5.7
Okaloosa County,Florida,197591,30775,11.5,6.1
Okeechobee County,Florida,40228,18611,22.3,9.0
Orange County,Florida,1290216,27394,16.7,6.8
Osceola County,Florida,325168,20165,17.8,6.6
Palm Beach County,Florida,1426772,36303,13.4,7.4
Pasco County,Florida,498136,26624,13.6,7.0
Pinellas County,Florida,949842,32120,13.7,6.4
Polk County,Florida,652256,22579,17.3,7.7
Putnam County,Florida,72435,18950,27.6,10.3
St. Johns County,Florida,226578,39563,9.1,5.3
St. Lucie County,Florida,298763,24940,16.6,7.6
Santa Rosa County,Florida,166778,28908,11.3,6.3
Sarasota County,Florida,404839,37054,10.5,5.7
Seminole County,Florida,449260,31363,11.8,6.6
Sumter County,Florida,116754,33168,9.2,6.6
Suwannee County,Florida,43814,21565,20.4,9.1
Taylor County,Florida,22350,16979,16.4,5.9
Union County,Florida,15300,13485,21.4,9.8
Volusia County,Florida,518660,25871,16.1,6.7
Wakulla County,Florida,31586,22846,12.6,6.9
Walton County,Florida,63457,30853,17.0,5.7
Washington County,Florida,24472,18718,21.0,10.1
Appling County,Georgia,18471,19936,24.7,7.7
Atkinson County,Georgia,8313,19904,27.4,8.4
Bacon County,Georgia,11279,18856,23.2,3.1
Baker County,Georgia,3251,22270,19.5,2.5
Baldwin County,Georgia,45527,20114,27.8,9.0
Banks County,Georgia,18363,19451,14.3,6.6
Barrow County,Georgia,75099,22978,13.2,6.8
Bartow County,Georgia,102623,24931,14.2,6.0
Ben Hill County,Georgia,17272,16635,30.4,5.2
Berrien County,Georgia,19014,18064,23.7,9.4
Bibb County,Georgia,153923,23426,26.7,10.4
Bleckley County,Georgia,12779,20667,23.0,7.7
Brantley County,Georgia,18411,18220,21.8,7.8
Brooks County,Georgia,15629,20964,23.6,13.6
Bryan County,Georgia,34883,29880,14.1,7.9
Bulloch County,Georgia,73742,20526,30.4,9.3
Burke County,Georgia,22645,19720,29.2,5.8
Butts County,Georgia,23556,21236,23.5,7.6
Calhoun County,Georgia,6503,13865,32.2,14.9
Camden County,Georgia,52252,26854,12.7,8.2
Candler County,Georgia,10894,18233,31.5,6.3
Carroll County,Georgia,114898,23139,18.6,9.4
Catoosa County,Georgia,65870,25643,10.8,5.4
Charlton County,Georgia,12963,19102,23.1,10.4
Chatham County,Georgia,285506,28765,17.3,8.7
Chattahoochee County,Georgia,11096,22774,15.0,15.2
Chattooga County,Georgia,24880,17716,22.5,9.5
Cherokee County,Georgia,235896,33466,9.4,4.9
Clarke County,Georgia,123554,21203,34.1,7.6
Clay County,Georgia,3024,14559,41.4,20.3
Clayton County,Georgia,274150,19498,21.9,10.3
Clinch County,Georgia,6788,17145,39.5,9.1
Cobb County,Georgia,739072,36587,10.9,6.0
Coffee County,Georgia,43048,18945,23.9,5.7
Colquitt County,Georgia,45890,18121,25.4,7.2
Columbia County,Georgia,143723,31720,8.6,5.8
Cook County,Georgia,17190,17587,24.2,5.8
Coweta County,Georgia,138015,31548,11.6,5.4
Crawford County,Georgia,12385,22212,18.1,12.6
Crisp County,Georgia,23005,21225,31.2,14.8
Dade County,Georgia,16282,23184,17.5,4.8
Dawson County,Georgia,23397,31954,11.8,6.1
Decatur County,Georgia,27023,19650,24.1,6.5
DeKalb County,Georgia,736066,32110,17.6,8.5
Dodge County,Georgia,21063,18563,22.2,9.0
Dooly County,Georgia,14053,16867,23.2,10.5
Dougherty County,Georgia,91522,20292,30.5,15.8
Douglas County,Georgia,140152,25449,14.2,7.9
Early County,Georgia,10405,17972,27.5,8.7
Echols County,Georgia,4011,20589,28.2,5.5
Effingham County,Georgia,57087,26765,9.6,5.0
Elbert County,Georgia,19288,21138,22.4,7.7
Emanuel County,Georgia,22502,17944,29.2,10.3
Evans County,Georgia,10757,20736,26.0,6.6
Fannin County,Georgia,24480,24845,15.8,8.3
Fayette County,Georgia,110306,39936,6.3,5.5
Floyd County,Georgia,96471,23929,18.1,7.5
Forsyth County,Georgia,211300,39896,6.5,4.2
Franklin County,Georgia,22328,19663,25.4,6.3
Fulton County,Georgia,1010420,41041,16.0,7.7
Gilmer County,Georgia,29614,23688,18.8,7.4
Glascock County,Georgia,3027,19815,11.5,3.3
Glynn County,Georgia,83467,29209,19.2,6.7
Gordon County,Georgia,56424,21208,18.8,5.7
Grady County,Georgia,25048,20864,25.4,8.0
Greene County,Georgia,16732,32890,21.9,6.5
Gwinnett County,Georgia,889954,27945,12.1,5.8
Habersham County,Georgia,43878,20656,17.2,5.5
Hall County,Georgia,192865,26283,16.1,4.6
Hancock County,Georgia,8667,15454,30.0,4.0
Haralson County,Georgia,28722,23141,18.0,7.2
Harris County,Georgia,33198,32373,7.3,8.5
Hart County,Georgia,25535,21668,18.8,4.7
Heard County,Georgia,11607,20946,17.4,9.6
Henry County,Georgia,217506,26924,11.4,7.7
Houston County,Georgia,150341,26305,16.7,7.8
Irwin County,Georgia,9278,19429,24.5,7.4
Jackson County,Georgia,63851,25598,12.5,6.5
Jasper County,Georgia,13732,19784,19.4,7.2
Jeff Davis County,Georgia,14999,18550,20.6,5.0
Jefferson County,Georgia,15954,17485,26.9,8.5
Jenkins County,Georgia,8929,15149,30.7,6.3
Johnson County,Georgia,9800,19706,21.5,11.4
Jones County,Georgia,28540,26098,14.2,8.7
Lamar County,Georgia,18282,20458,20.8,11.4
Lanier County,Georgia,10388,17739,28.7,10.6
Laurens County,Georgia,47451,20687,27.3,5.1
Lee County,Georgia,29216,28061,11.6,7.1
Liberty County,Georgia,62120,20966,16.6,11.9
Lincoln County,Georgia,7768,24529,23.0,6.0
Long County,Georgia,17857,20321,20.0,17.2
Lowndes County,Georgia,113941,21199,25.0,9.2
Lumpkin County,Georgia,31567,23364,20.1,6.0
McDuffie County,Georgia,21488,20436,26.0,8.1
McIntosh County,Georgia,14061,25226,20.3,9.2
Macon County,Georgia,13675,15919,28.6,16.8
Madison County,Georgia,28600,22885,17.6,8.0
Marion County,Georgia,8558,20154,23.1,10.0
Meriwether County,Georgia,21152,19679,22.7,8.1
Miller County,Georgia,5884,21002,23.3,5.7
Mitchell County,Georgia,22574,16088,27.1,15.2
Monroe County,Georgia,26795,30359,13.3,9.4
Montgomery County,Georgia,8962,20114,19.5,6.6
Morgan County,Georgia,18013,28830,13.4,5.7
Murray County,Georgia,39444,19084,18.0,7.4
Muscogee County,Georgia,198647,24604,21.7,10.0
Newton County,Georgia,105042,23611,16.7,9.0
Oconee County,Georgia,35972,38639,6.9,4.4
Oglethorpe County,Georgia,14654,21858,17.6,5.8
Paulding County,Georgia,152399,26636,9.7,5.2
Peach County,Georgia,27027,22388,18.7,8.6
Pickens County,Georgia,30343,29460,9.8,7.0
Pierce County,Georgia,19141,23754,21.0,6.2
Pike County,Georgia,17919,25176,12.3,9.0
Polk County,Georgia,41444,22314,19.0,7.2
Pulaski County,Georgia,11396,18623,21.8,6.7
Putnam County,Georgia,21430,27498,16.2,6.5
Quitman County,Georgia,2140,18921,22.8,12.1
Rabun County,Georgia,16354,26942,20.3,5.7
Randolph County,Georgia,7206,19781,35.1,8.9
Richmond County,Georgia,201568,21464,24.2,11.6
Rockdale County,Georgia,88482,24254,16.3,8.7
Schley County,Georgia,5168,19761,22.2,14.2
Screven County,Georgia,14037,20255,22.6,5.5
Seminole County,Georgia,8549,21257,25.5,7.3
Spalding County,Georgia,64192,21675,21.6,8.3
Stephens County,Georgia,25625,21657,18.1,11.7
Stewart County,Georgia,5832,14954,41.5,11.8
Sumter County,Georgia,30687,18785,33.4,10.6
Talbot County,Georgia,6423,21351,16.9,8.2
Taliaferro County,Georgia,1844,17939,31.0,9.5
Tattnall County,Georgia,25402,16279,23.7,4.0
Taylor County,Georgia,8267,18482,28.2,14.1
Telfair County,Georgia,16339,13594,27.7,4.1
Terrell County,Georgia,8978,17562,35.3,10.4
Thomas County,Georgia,44909,24047,19.5,9.3
Tift County,Georgia,40531,20800,27.8,3.9
Toombs County,Georgia,27160,21309,24.4,10.3
Towns County,Georgia,11173,22301,14.7,6.8
Treutlen County,Georgia,6752,20775,21.0,5.6
Troup County,Georgia,69433,22091,21.3,8.9
Turner County,Georgia,8036,20302,27.9,6.5
Twiggs County,Georgia,8323,17485,27.3,6.3
Union County,Georgia,22262,26755,12.8,5.5
Upson County,Georgia,26241,19624,22.7,11.2
Walker County,Georgia,68609,22564,17.2,7.0
Walton County,Georgia,88695,25184,12.8,6.9
Ware County,Georgia,35688,19246,24.8,4.6
Warren County,Georgia,5410,20712,26.8,8.2
Washington County,Georgia,20506,19238,27.1,9.3
Wayne County,Georgia,29833,19188,21.3,9.5
Webster County,Georgia,2627,22206,19.5,4.0
Wheeler County,Georgia,7952,11192,29.3,9.1
White County,Georgia,28509,23630,17.7,4.3
Whitfield County,Georgia,103963,22262,19.2,8.0
Wilcox County,Georgia,8896,15119,21.8,7.6
Wilkes County,Georgia,9905,21957,26.5,7.5
Wilkinson County,Georgia,9147,19823,23.3,8.8
Worth County,Georgia,20809,20783,21.5,9.7
Hawaii County,Hawaii,196325,26959,17.4,6.8
Honolulu County,Hawaii,990060,33776,9.1,4.5
Kalawao County,Hawaii,86,46024,12.7,0.0
Kauai County,Hawaii,71093,30515,9.1,4.4
Maui County,Hawaii,164094,32379,10.0,4.9
Ada County,Idaho,435117,31642,11.8,4.3
Adams County,Idaho,3946,24315,13.8,8.7
Bannock County,Idaho,84113,23872,17.6,6.3
Bear Lake County,Idaho,5942,24411,14.5,3.7
Benewah County,Idaho,9050,23120,15.8,9.6
